split,model,estimand,group,n,fpr,fpr_ci_low,fpr_ci_high,delta,delta_ci_low,delta_ci_high,note
holdout_author,main,full,весь человеческий тест,523,0.040152963671128104,0.013846153846153847,0.07932692307692307,,,,
holdout_author,main,full,HH-formal-register,167,0.059880239520958084,0.009478672985781991,0.21212121212121213,0.028981363116463703,-0.032059837615393175,0.1838272866632601,
holdout_author,main,full,HH-polished,180,0.03888888888888889,0.0,0.1,-0.0019274376417233521,-0.072992700729927,0.06763754045307444,
holdout_author,main,full,HH-translation,73,0.0410958904109589,0.0,0.0958904109589041,0.001095890410958901,-0.060864553314121043,0.058399423215573176,
holdout_author,main,full,genre=news,180,0.03888888888888889,0.0,0.1,-0.0019274376417233521,-0.072992700729927,0.06763754045307444,
holdout_author,main,full,genre=prose,76,0.0,0.0,0.0,-0.04697986577181208,-0.09259259259259259,-0.018518518518518517,
holdout_author,main,full,genre=science,167,0.059880239520958084,0.009478672985781991,0.21212121212121213,0.028981363116463703,-0.032059837615393175,0.1838272866632601,
holdout_author,main,full,genre=seo,27,0.037037037037037035,0.0,0.17647058823529413,-0.0032855436081242542,-0.06921241050119331,0.27991096271563715,
holdout_author,main,full,genre=translation,73,0.0410958904109589,0.0,0.0958904109589041,0.001095890410958901,-0.060864553314121043,0.058399423215573176,
holdout_author,main,full,hh_all,420,0.047619047619047616,0.016363636363636365,0.09642857142857143,0.03791030975496995,-0.037037037037037035,0.0893970893970894,
holdout_author,main,full,len_long,177,0.03389830508474576,0.004048582995951417,0.13095238095238096,-0.0094542960713236,-0.05144259667401323,0.08071895424836602,
holdout_author,main,full,len_mid,143,0.04895104895104895,0.010810810810810811,0.11702127659574468,0.01210894368789106,-0.03332520218415176,0.08023715415019764,
holdout_author,main,full,len_short,203,0.03940886699507389,0.0,0.08,-0.0012161330049261093,-0.08007997474481743,0.050452034153691615,
holdout_author,main,full,source=buriy_2014,60,0.016666666666666666,0.016666666666666666,0.016666666666666666,-0.026529877609791214,-0.07110762800417973,0.0016572858036272668,
holdout_author,main,full,source=cyberleninka,60,0.16666666666666666,0.041666666666666664,0.27848101265822783,0.14290856731461482,0.0106359158083296,0.26077227975962153,
holdout_author,main,full,source=gazeta,60,0.0,0.0,0.0,-0.04535637149028078,-0.08883248730964467,-0.017766497461928935,
