n,n_machine,n_human,tpr_at_1pct_fpr,tpr_at_5pct_fpr,mcc,balanced_accuracy,auroc,split,model,estimand,slice,fpr,fpr_ci_low,fpr_ci_high,fpr_hard_human,fpr_HH-translation,fpr_HH-polished,fpr_HH-formal-register
73,0,73,,,,,,holdout_prompt_P2,main+M02,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
152,0,152,,,,,,holdout_prompt_P2,main+M02,full,H/уровень 1,0.013157894736842105,0.0,0.03333333333333333,0.013157894736842105,,0.013157894736842105,
167,0,167,,,,,,holdout_prompt_P2,main+M02,full,H/уровень 3,0.0658682634730539,0.03081232492997199,0.1625,0.0658682634730539,,,0.0658682634730539
752,,,,,,,,holdout_prompt_P2,main+M02,full,macro по стратам,0.040040682873618304,,,,,,
752,,,,,,,,holdout_prompt_P2,main+M02,full,худшая страта,0.0658682634730539,,,,,,
359,359,0,,,,,,holdout_prompt_P3,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,main,full,H/без уровня,0.0273972602739726,0.0,0.0684931506849315,0.0273972602739726,0.0273972602739726,,
152,0,152,,,,,,holdout_prompt_P3,main,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
167,0,167,,,,,,holdout_prompt_P3,main,full,H/уровень 3,0.08982035928143713,0.02403846153846154,0.2289156626506024,0.08982035928143713,,,0.08982035928143713
751,,,,,,,,holdout_prompt_P3,main,full,macro по стратам,0.03907253985180324,,,,,,
751,,,,,,,,holdout_prompt_P3,main,full,худшая страта,0.08982035928143713,,,,,,
359,359,0,,,,,,holdout_prompt_P3,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,main,net,H/без уровня,0.0684931506849315,0.0136986301369863,0.136986301369863,0.0684931506849315,0.0684931506849315,,
152,0,152,,,,,,holdout_prompt_P3,main,net,H/уровень 1,0.05263157894736842,0.03125,0.08333333333333333,0.05263157894736842,,0.05263157894736842,
167,0,167,,,,,,holdout_prompt_P3,main,net,H/уровень 3,0.08982035928143713,0.03902439024390244,0.23333333333333334,0.08982035928143713,,,0.08982035928143713
751,,,,,,,,holdout_prompt_P3,main,net,macro по стратам,0.07031502963791235,,,,,,
751,,,,,,,,holdout_prompt_P3,main,net,худшая страта,0.08982035928143713,,,,,,
359,359,0,,,,,,holdout_prompt_P3,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,length-only,full,H/без уровня,0.863013698630137,0.7808219178082192,0.9315068493150684,0.863013698630137,0.863013698630137,,
152,0,152,,,,,,holdout_prompt_P3,length-only,full,H/уровень 1,0.9342105263157895,0.85,1.0,0.9342105263157895,,0.9342105263157895,
167,0,167,,,,,,holdout_prompt_P3,length-only,full,H/уровень 3,0.15568862275449102,0.07526881720430108,0.39473684210526316,0.15568862275449102,,,0.15568862275449102
751,,,,,,,,holdout_prompt_P3,length-only,full,macro по стратам,0.6509709492334724,,,,,,
751,,,,,,,,holdout_prompt_P3,length-only,full,худшая страта,0.9342105263157895,,,,,,
359,359,0,,,,,,holdout_prompt_P3,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_prompt_P3,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
167,0,167,,,,,,holdout_prompt_P3,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
751,,,,,,,,holdout_prompt_P3,genre-only,full,macro по стратам,1.0,,,,,,
751,,,,,,,,holdout_prompt_P3,genre-only,full,худшая страта,1.0,,,,,,
359,359,0,,,,,,holdout_prompt_P3,source-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,source-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_prompt_P3,source-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
167,0,167,,,,,,holdout_prompt_P3,source-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
751,,,,,,,,holdout_prompt_P3,source-only,full,macro по стратам,1.0,,,,,,
751,,,,,,,,holdout_prompt_P3,source-only,full,худшая страта,1.0,,,,,,
359,359,0,,,,,,holdout_prompt_P3,format-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,format-only,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
152,0,152,,,,,,holdout_prompt_P3,format-only,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
167,0,167,,,,,,holdout_prompt_P3,format-only,full,H/уровень 3,0.029940119760479042,0.006097560975609756,0.10638297872340426,0.029940119760479042,,,0.029940119760479042
751,,,,,,,,holdout_prompt_P3,format-only,full,macro по стратам,0.014546249965821781,,,,,,
751,,,,,,,,holdout_prompt_P3,format-only,full,худшая страта,0.029940119760479042,,,,,,
359,359,0,,,,,,holdout_prompt_P3,main+M02,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_prompt_P3,main+M02,full,H/без уровня,0.0273972602739726,0.0,0.0684931506849315,0.0273972602739726,0.0273972602739726,,
152,0,152,,,,,,holdout_prompt_P3,main+M02,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
167,0,167,,,,,,holdout_prompt_P3,main+M02,full,H/уровень 3,0.0718562874251497,0.014354066985645933,0.21686746987951808,0.0718562874251497,,,0.0718562874251497
751,,,,,,,,holdout_prompt_P3,main+M02,full,macro по стратам,0.033084515899707435,,,,,,
751,,,,,,,,holdout_prompt_P3,main+M02,full,худшая страта,0.0718562874251497,,,,,,
180,180,0,,,,,,holdout_source,main,full,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,main,full,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,main,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
152,0,152,,,,,,holdout_source,main,full,H/уровень 1,0.013157894736842105,0.0,0.016666666666666666,0.013157894736842105,,0.013157894736842105,
72,0,72,,,,,,holdout_source,main,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_source,main,full,H/уровень 3,0.041916167664670656,0.0,0.15625,0.041916167664670656,,,0.041916167664670656
1003,,,,,,,,holdout_source,main,full,macro по стратам,0.024042488203117916,,,,,,
1003,,,,,,,,holdout_source,main,full,худшая страта,0.041916167664670656,,,,,,
180,180,0,,,,,,holdout_source,main,net,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,main,net,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,main,net,H/без уровня,0.0547945205479452,0.0136986301369863,0.1095890410958904,0.0547945205479452,0.0547945205479452,,
152,0,152,,,,,,holdout_source,main,net,H/уровень 1,0.05263157894736842,0.03125,0.06666666666666667,0.05263157894736842,,0.05263157894736842,
72,0,72,,,,,,holdout_source,main,net,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_source,main,net,H/уровень 3,0.08982035928143713,0.02926829268292683,0.26136363636363635,0.08982035928143713,,,0.08982035928143713
1003,,,,,,,,holdout_source,main,net,macro по стратам,0.04931161469418768,,,,,,
1003,,,,,,,,holdout_source,main,net,худшая страта,0.08982035928143713,,,,,,
180,180,0,,,,,,holdout_source,length-only,full,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,length-only,full,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,length-only,full,H/без уровня,0.9178082191780822,0.8493150684931506,0.9726027397260274,0.9178082191780822,0.9178082191780822,,
152,0,152,,,,,,holdout_source,length-only,full,H/уровень 1,0.9605263157894737,0.9166666666666666,1.0,0.9605263157894737,,0.9605263157894737,
72,0,72,,,,,,holdout_source,length-only,full,H/уровень 2,0.5555555555555556,0.21311475409836064,0.8431372549019608,,,,
167,0,167,,,,,,holdout_source,length-only,full,H/уровень 3,0.281437125748503,0.19291338582677164,0.5357142857142857,0.281437125748503,,,0.281437125748503
1003,,,,,,,,holdout_source,length-only,full,macro по стратам,0.6788318040679036,,,,,,
1003,,,,,,,,holdout_source,length-only,full,худшая страта,0.9605263157894737,,,,,,
180,180,0,,,,,,holdout_source,genre-only,full,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,genre-only,full,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_source,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
72,0,72,,,,,,holdout_source,genre-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_source,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
1003,,,,,,,,holdout_source,genre-only,full,macro по стратам,0.75,,,,,,
1003,,,,,,,,holdout_source,genre-only,full,худшая страта,1.0,,,,,,
180,180,0,,,,,,holdout_source,source-only,full,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,source-only,full,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,source-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,source-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_source,source-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
72,0,72,,,,,,holdout_source,source-only,full,H/уровень 2,1.0,1.0,1.0,,,,
167,0,167,,,,,,holdout_source,source-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
1003,,,,,,,,holdout_source,source-only,full,macro по стратам,1.0,,,,,,
1003,,,,,,,,holdout_source,source-only,full,худшая страта,1.0,,,,,,
180,180,0,,,,,,holdout_source,format-only,full,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,format-only,full,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,format-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,format-only,full,H/без уровня,0.0,0.0,0.0,0.0,0.0,,
152,0,152,,,,,,holdout_source,format-only,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
72,0,72,,,,,,holdout_source,format-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_source,format-only,full,H/уровень 3,0.017964071856287425,0.0,0.08571428571428572,0.017964071856287425,,,0.017964071856287425
1003,,,,,,,,holdout_source,format-only,full,macro по стратам,0.004491017964071856,,,,,,
1003,,,,,,,,holdout_source,format-only,full,худшая страта,0.017964071856287425,,,,,,
180,180,0,,,,,,holdout_source,main+M02,full,A/P1,,,,,,,
180,180,0,,,,,,holdout_source,main+M02,full,A/P2,,,,,,,
179,179,0,,,,,,holdout_source,main+M02,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_source,main+M02,full,H/без уровня,0.0410958904109589,0.0,0.0958904109589041,0.0410958904109589,0.0410958904109589,,
152,0,152,,,,,,holdout_source,main+M02,full,H/уровень 1,0.006578947368421052,0.0,0.016666666666666666,0.006578947368421052,,0.006578947368421052,
72,0,72,,,,,,holdout_source,main+M02,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_source,main+M02,full,H/уровень 3,0.041916167664670656,0.0,0.15625,0.041916167664670656,,,0.041916167664670656
1003,,,,,,,,holdout_source,main+M02,full,macro по стратам,0.02239775136101265,,,,,,
1003,,,,,,,,holdout_source,main+M02,full,худшая страта,0.041916167664670656,,,,,,
73,0,73,,,,,,holdout_time,main,full,H/без уровня,0.0273972602739726,0.0,0.0684931506849315,0.0273972602739726,0.0273972602739726,,
152,0,152,,,,,,holdout_time,main,full,H/уровень 1,0.013157894736842105,0.0,0.03333333333333333,0.013157894736842105,,0.013157894736842105,
66,0,66,,,,,,holdout_time,main,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_time,main,full,H/уровень 3,0.08383233532934131,0.027649769585253458,0.2602739726027397,0.08383233532934131,,,0.08383233532934131
458,,,,,,,,holdout_time,main,full,macro по стратам,0.031096872585039004,,,,,,
458,,,,,,,,holdout_time,main,full,худшая страта,0.08383233532934131,,,,,,
73,0,73,,,,,,holdout_time,main,net,H/без уровня,0.0684931506849315,0.0136986301369863,0.136986301369863,0.0684931506849315,0.0684931506849315,,
152,0,152,,,,,,holdout_time,main,net,H/уровень 1,0.046052631578947366,0.03125,0.05,0.046052631578947366,,0.046052631578947366,
66,0,66,,,,,,holdout_time,main,net,H/уровень 2,0.12121212121212122,0.027777777777777776,0.2619047619047619,,,,
167,0,167,,,,,,holdout_time,main,net,H/уровень 3,0.1317365269461078,0.06,0.32954545454545453,0.1317365269461078,,,0.1317365269461078
458,,,,,,,,holdout_time,main,net,macro по стратам,0.09187360760552697,,,,,,
458,,,,,,,,holdout_time,main,net,худшая страта,0.1317365269461078,,,,,,
73,0,73,,,,,,holdout_time,length-only,full,H/без уровня,0.863013698630137,0.7808219178082192,0.9315068493150684,0.863013698630137,0.863013698630137,,
152,0,152,,,,,,holdout_time,length-only,full,H/уровень 1,0.9407894736842105,0.8666666666666667,1.0,0.9407894736842105,,0.9407894736842105,
66,0,66,,,,,,holdout_time,length-only,full,H/уровень 2,0.36363636363636365,0.1744186046511628,0.575,,,,
167,0,167,,,,,,holdout_time,length-only,full,H/уровень 3,0.1497005988023952,0.06840390879478828,0.38666666666666666,0.1497005988023952,,,0.1497005988023952
458,,,,,,,,holdout_time,length-only,full,macro по стратам,0.5792850336882766,,,,,,
458,,,,,,,,holdout_time,length-only,full,худшая страта,0.9407894736842105,,,,,,
73,0,73,,,,,,holdout_time,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_time,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
66,0,66,,,,,,holdout_time,genre-only,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_time,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
458,,,,,,,,holdout_time,genre-only,full,macro по стратам,0.75,,,,,,
458,,,,,,,,holdout_time,genre-only,full,худшая страта,1.0,,,,,,
73,0,73,,,,,,holdout_time,source-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_time,source-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
66,0,66,,,,,,holdout_time,source-only,full,H/уровень 2,0.25757575757575757,0.0,0.6190476190476191,,,,
167,0,167,,,,,,holdout_time,source-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
458,,,,,,,,holdout_time,source-only,full,macro по стратам,0.8143939393939394,,,,,,
458,,,,,,,,holdout_time,source-only,full,худшая страта,1.0,,,,,,
73,0,73,,,,,,holdout_time,format-only,full,H/без уровня,0.0,0.0,0.0,0.0,0.0,,
152,0,152,,,,,,holdout_time,format-only,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
66,0,66,,,,,,holdout_time,format-only,full,H/уровень 2,0.015151515151515152,0.0,0.057971014492753624,,,,
167,0,167,,,,,,holdout_time,format-only,full,H/уровень 3,0.023952095808383235,0.0,0.08695652173913043,0.023952095808383235,,,0.023952095808383235
458,,,,,,,,holdout_time,format-only,full,macro по стратам,0.009775902739974597,,,,,,
458,,,,,,,,holdout_time,format-only,full,худшая страта,0.023952095808383235,,,,,,
73,0,73,,,,,,holdout_time,main+M02,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
152,0,152,,,,,,holdout_time,main+M02,full,H/уровень 1,0.013157894736842105,0.0,0.03333333333333333,0.013157894736842105,,0.013157894736842105,
66,0,66,,,,,,holdout_time,main+M02,full,H/уровень 2,0.0,0.0,0.0,,,,
167,0,167,,,,,,holdout_time,main+M02,full,H/уровень 3,0.059880239520958084,0.014925373134328358,0.18333333333333332,0.059880239520958084,,,0.059880239520958084
458,,,,,,,,holdout_time,main+M02,full,macro по стратам,0.021684191098696622,,,,,,
458,,,,,,,,holdout_time,main+M02,full,худшая страта,0.059880239520958084,,,,,,
120,120,0,,,,,,holdout_topic,main,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,main,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,main,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,main,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
152,0,152,,,,,,holdout_topic,main,full,H/уровень 1,0.013157894736842105,0.0,0.03333333333333333,0.013157894736842105,,0.013157894736842105,
167,0,167,,,,,,holdout_topic,main,full,H/уровень 3,0.08383233532934131,0.028846153846153848,0.25,0.08383233532934131,,,0.08383233532934131
751,,,,,,,,holdout_topic,main,full,macro по стратам,0.0368962867343899,,,,,,
751,,,,,,,,holdout_topic,main,full,худшая страта,0.08383233532934131,,,,,,
120,120,0,,,,,,holdout_topic,main,net,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,main,net,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,main,net,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,main,net,H/без уровня,0.0547945205479452,0.0136986301369863,0.1095890410958904,0.0547945205479452,0.0547945205479452,,
152,0,152,,,,,,holdout_topic,main,net,H/уровень 1,0.046052631578947366,0.03125,0.06666666666666667,0.046052631578947366,,0.046052631578947366,
167,0,167,,,,,,holdout_topic,main,net,H/уровень 3,0.08383233532934131,0.029239766081871343,0.23333333333333334,0.08383233532934131,,,0.08383233532934131
751,,,,,,,,holdout_topic,main,net,macro по стратам,0.061559829152077965,,,,,,
751,,,,,,,,holdout_topic,main,net,худшая страта,0.08383233532934131,,,,,,
120,120,0,,,,,,holdout_topic,length-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,length-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,length-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,length-only,full,H/без уровня,0.8904109589041096,0.8082191780821918,0.958904109589041,0.8904109589041096,0.8904109589041096,,
152,0,152,,,,,,holdout_topic,length-only,full,H/уровень 1,0.9407894736842105,0.8666666666666667,1.0,0.9407894736842105,,0.9407894736842105,
167,0,167,,,,,,holdout_topic,length-only,full,H/уровень 3,0.23353293413173654,0.1326530612244898,0.4673913043478261,0.23353293413173654,,,0.23353293413173654
751,,,,,,,,holdout_topic,length-only,full,macro по стратам,0.6882444555733521,,,,,,
751,,,,,,,,holdout_topic,length-only,full,худшая страта,0.9407894736842105,,,,,,
120,120,0,,,,,,holdout_topic,genre-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,genre-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,genre-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,genre-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_topic,genre-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
167,0,167,,,,,,holdout_topic,genre-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
751,,,,,,,,holdout_topic,genre-only,full,macro по стратам,1.0,,,,,,
751,,,,,,,,holdout_topic,genre-only,full,худшая страта,1.0,,,,,,
120,120,0,,,,,,holdout_topic,source-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,source-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,source-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,source-only,full,H/без уровня,1.0,1.0,1.0,1.0,1.0,,
152,0,152,,,,,,holdout_topic,source-only,full,H/уровень 1,1.0,1.0,1.0,1.0,,1.0,
167,0,167,,,,,,holdout_topic,source-only,full,H/уровень 3,1.0,1.0,1.0,1.0,,,1.0
751,,,,,,,,holdout_topic,source-only,full,macro по стратам,1.0,,,,,,
751,,,,,,,,holdout_topic,source-only,full,худшая страта,1.0,,,,,,
120,120,0,,,,,,holdout_topic,format-only,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,format-only,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,format-only,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,format-only,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
152,0,152,,,,,,holdout_topic,format-only,full,H/уровень 1,0.0,0.0,0.0,0.0,,0.0,
167,0,167,,,,,,holdout_topic,format-only,full,H/уровень 3,0.041916167664670656,0.015873015873015872,0.10909090909090909,0.041916167664670656,,,0.041916167664670656
751,,,,,,,,holdout_topic,format-only,full,macro по стратам,0.01853826593388565,,,,,,
751,,,,,,,,holdout_topic,format-only,full,худшая страта,0.041916167664670656,,,,,,
120,120,0,,,,,,holdout_topic,main+M02,full,A/P1,,,,,,,
120,120,0,,,,,,holdout_topic,main+M02,full,A/P2,,,,,,,
119,119,0,,,,,,holdout_topic,main+M02,full,A/P3,,,,,,,
73,0,73,,,,,,holdout_topic,main+M02,full,H/без уровня,0.0136986301369863,0.0,0.0410958904109589,0.0136986301369863,0.0136986301369863,,
152,0,152,,,,,,holdout_topic,main+M02,full,H/уровень 1,0.013157894736842105,0.0,0.03333333333333333,0.013157894736842105,,0.013157894736842105,
167,0,167,,,,,,holdout_topic,main+M02,full,H/уровень 3,0.059880239520958084,0.022388059701492536,0.171875,0.059880239520958084,,,0.059880239520958084
751,,,,,,,,holdout_topic,main+M02,full,macro по стратам,0.028912254798262163,,,,,,
751,,,,,,,,holdout_topic,main+M02,full,худшая страта,0.059880239520958084,,,,,,
